Restaurants_Name,Cost_of_two,Areas,Reatings,Discounts
Story Coffee,"Cafe, Fast Food₹600 for two","Koramangala, South Bengaluru  | View All(6) Outlets","Story CoffeeKoramangala, South Bengaluru  | View All(6) OutletsCafe, Fast Food₹600 for two4.0",Flat 10% + 25% with Bank Offers
Gufha,Afghani₹2000 for two,"The President Hotel, Bengaluru","GufhaThe President Hotel, BengaluruAfghani₹2000 for two4.2",Flat 10% + 25% with Bank Offers
Gufha,Afghani₹2000 for two,"The President Hotel, Bengaluru","GufhaThe President Hotel, BengaluruAfghani₹2000 for two4.2",Flat 10% + 25% with Bank Offers
KOKO,Asian₹3500 for two,"Jeevan Bhima Nagar, East Bengaluru","KOKOJeevan Bhima Nagar, East BengaluruAsian₹3500 for two4.2",25% Off :Payeazy
KOKO,Asian₹3500 for two,"Jeevan Bhima Nagar, East Bengaluru","KOKOJeevan Bhima Nagar, East BengaluruAsian₹3500 for two4.2",25% Off :Payeazy
Koi Resto Bar,Multicuisine₹1800 for two,"New BEL Road, North Bengaluru","Koi Resto BarNew BEL Road, North BengaluruMulticuisine₹1800 for two4.1",25% Off :Payeazy
Koi Resto Bar,Multicuisine₹1800 for two,"New BEL Road, North Bengaluru","Koi Resto BarNew BEL Road, North BengaluruMulticuisine₹1800 for two4.1",25% Off :Payeazy
Sita Ram The Royal Rajasthani Thali,"Rajasthani, North Indian₹350 for two","Rajarajeshwari Nagar, South Bengaluru","Sita Ram The Royal Rajasthani ThaliRajarajeshwari Nagar, South BengaluruRajasthani, North Indian₹350 for two4.8",Flat 10% + 25% with Bank Offers
Sita Ram The Royal Rajasthani Thali,"Rajasthani, North Indian₹350 for two","Rajarajeshwari Nagar, South Bengaluru","Sita Ram The Royal Rajasthani ThaliRajarajeshwari Nagar, South BengaluruRajasthani, North Indian₹350 for two4.8",Flat 10% + 25% with Bank Offers
Underdoggs ,Multicuisine₹2500 for two,"Sahakara Nagar, North Bengaluru","Underdoggs Sahakara Nagar, North BengaluruMulticuisine₹2500 for two4.2",25% Off :Payeazy
Underdoggs ,Multicuisine₹2500 for two,"Sahakara Nagar, North Bengaluru","Underdoggs Sahakara Nagar, North BengaluruMulticuisine₹2500 for two4.2",25% Off :Payeazy
Arena Brewhouse,Multicuisine₹5000 for two,"Indiranagar, East Bengaluru","Arena BrewhouseIndiranagar, East BengaluruMulticuisine₹5000 for two4.7",25% Off :Payeazy
Arena Brewhouse,Multicuisine₹5000 for two,"Indiranagar, East Bengaluru","Arena BrewhouseIndiranagar, East BengaluruMulticuisine₹5000 for two4.7",25% Off :Payeazy
PHURR,"Global Cuisine, Fusion₹1800 for two","Jayanagar, South Bengaluru","PHURRJayanagar, South BengaluruGlobal Cuisine, Fusion₹1800 for two4.3",25% Off :Payeazy
PHURR,"Global Cuisine, Fusion₹1800 for two","Jayanagar, South Bengaluru","PHURRJayanagar, South BengaluruGlobal Cuisine, Fusion₹1800 for two4.3",25% Off :Payeazy
Lux Pub & Kitchen,Multicuisine₹2000 for two,"Koramangala 7th Block, South Bengaluru","Lux Pub & KitchenKoramangala 7th Block, South BengaluruMulticuisine₹2000 for two3.0",Flat 15% + 25% with Bank Offers
Lux Pub & Kitchen,Multicuisine₹2000 for two,"Koramangala 7th Block, South Bengaluru","Lux Pub & KitchenKoramangala 7th Block, South BengaluruMulticuisine₹2000 for two3.0",Flat 15% + 25% with Bank Offers
Kalasa Coffee Roasters,Coffee₹400 for two,"Ullal, North Bengaluru","Kalasa Coffee RoastersUllal, North BengaluruCoffee₹400 for two5.0",Flat 15% + 25% with Bank Offers
Kalasa Coffee Roasters,Coffee₹400 for two,"Ullal, North Bengaluru","Kalasa Coffee RoastersUllal, North BengaluruCoffee₹400 for two5.0",Flat 15% + 25% with Bank Offers
The Clink,Global Cuisine₹1000 for two,"JP Nagar, South Bengaluru","The ClinkJP Nagar, South BengaluruGlobal Cuisine₹1000 for two4.0",Flat 10% + 25% with Bank Offers
The Clink,Global Cuisine₹1000 for two,"JP Nagar, South Bengaluru","The ClinkJP Nagar, South BengaluruGlobal Cuisine₹1000 for two4.0",Flat 10% + 25% with Bank Offers
Food Planks,Multicuisine₹2000 for two,"Sahakara Nagar, North Bengaluru","Food PlanksSahakara Nagar, North BengaluruMulticuisine₹2000 for two4.5",25% Off :Payeazy
Food Planks,Multicuisine₹2000 for two,"Sahakara Nagar, North Bengaluru","Food PlanksSahakara Nagar, North BengaluruMulticuisine₹2000 for two4.5",25% Off :Payeazy
Quattro,"Italian, Multicuisine₹2500 for two","The Leela Bhartiya City, Hotel Convention & Residences, Bengaluru","QuattroThe Leela Bhartiya City, Hotel Convention & Residences, BengaluruItalian, Multicuisine₹2500 for two4.5",Flat 15% + 25% with Bank Offers
Quattro,"Italian, Multicuisine₹2500 for two","The Leela Bhartiya City, Hotel Convention & Residences, Bengaluru","QuattroThe Leela Bhartiya City, Hotel Convention & Residences, BengaluruItalian, Multicuisine₹2500 for two4.5",Flat 15% + 25% with Bank Offers
Sukino Cafe & Kitchen,Multicuisine₹800 for two,"Banashankari, South Bengaluru","Sukino Cafe & KitchenBanashankari, South BengaluruMulticuisine₹800 for two5.0",25% Off :Payeazy
Sukino Cafe & Kitchen,Multicuisine₹800 for two,"Banashankari, South Bengaluru","Sukino Cafe & KitchenBanashankari, South BengaluruMulticuisine₹800 for two5.0",25% Off :Payeazy
Happy Brew - Bar & Kitchen,"Finger Food, Multicuisine₹2500 for two","Koramangala, South Bengaluru","Happy Brew - Bar & KitchenKoramangala, South BengaluruFinger Food, Multicuisine₹2500 for two3.4",Flat 25% + 25% with Bank Offers
Happy Brew - Bar & Kitchen,"Finger Food, Multicuisine₹2500 for two","Koramangala, South Bengaluru","Happy Brew - Bar & KitchenKoramangala, South BengaluruFinger Food, Multicuisine₹2500 for two3.4",Flat 25% + 25% with Bank Offers
Milano Bakery Cafe,"Bakery, European₹500 for two","Indiranagar, East Bengaluru","Milano Bakery CafeIndiranagar, East BengaluruBakery, European₹500 for two4.0",Flat 10% + 25% with Bank Offers
Milano Bakery Cafe,"Bakery, European₹500 for two","Indiranagar, East Bengaluru","Milano Bakery CafeIndiranagar, East BengaluruBakery, European₹500 for two4.0",Flat 10% + 25% with Bank Offers
Kora.Blr,"Italian, Fusion, Continental₹800 for two","Koramangala 6th Block, South Bengaluru","Kora.BlrKoramangala 6th Block, South BengaluruItalian, Fusion, Continental₹800 for two4.0",Flat 10% + 25% with Bank Offers
Kora.Blr,"Italian, Fusion, Continental₹800 for two","Koramangala 6th Block, South Bengaluru","Kora.BlrKoramangala 6th Block, South BengaluruItalian, Fusion, Continental₹800 for two4.0",Flat 10% + 25% with Bank Offers
Yaghma Kababs,North Indian₹400 for two,"Kalyan Nagar, North Bengaluru","Yaghma KababsKalyan Nagar, North BengaluruNorth Indian₹400 for two4.0",25% Off :Payeazy
Yaghma Kababs,North Indian₹400 for two,"Kalyan Nagar, North Bengaluru","Yaghma KababsKalyan Nagar, North BengaluruNorth Indian₹400 for two4.0",25% Off :Payeazy
Biere Kraft Brew & Kitchen,Multicuisine₹1000 for two,"Mahadevapura, Bengaluru","Biere Kraft Brew & KitchenMahadevapura, BengaluruMulticuisine₹1000 for two4.8",Flat 10% + 25% with Bank Offers
Biere Kraft Brew & Kitchen,Multicuisine₹1000 for two,"Mahadevapura, Bengaluru","Biere Kraft Brew & KitchenMahadevapura, BengaluruMulticuisine₹1000 for two4.8",Flat 10% + 25% with Bank Offers
Big Bean Cafe,"Italian, Continental₹700 for two","Kalyan Nagar, North Bengaluru","Big Bean CafeKalyan Nagar, North BengaluruItalian, Continental₹700 for two4.0",25% Off :Payeazy
Big Bean Cafe,"Italian, Continental₹700 for two","Kalyan Nagar, North Bengaluru","Big Bean CafeKalyan Nagar, North BengaluruItalian, Continental₹700 for two4.0",25% Off :Payeazy
The Red Box,Chinese₹2000 for two,"Marathahalli, East Bengaluru  | View All(4) Outlets","The Red BoxMarathahalli, East Bengaluru  | View All(4) OutletsChinese₹2000 for two4.5",Flat 15% + 25% with Bank Offers
The Red Box,Chinese₹2000 for two,"Marathahalli, East Bengaluru  | View All(4) Outlets","The Red BoxMarathahalli, East Bengaluru  | View All(4) OutletsChinese₹2000 for two4.5",Flat 15% + 25% with Bank Offers
Daily Sushi - ITPL,"Japanese, Korean₹2000 for two","Whitefield, East Bengaluru","Daily Sushi - ITPLWhitefield, East BengaluruJapanese, Korean₹2000 for two4.4",Flat 10% + 25% with Bank Offers
Daily Sushi - ITPL,"Japanese, Korean₹2000 for two","Whitefield, East Bengaluru","Daily Sushi - ITPLWhitefield, East BengaluruJapanese, Korean₹2000 for two4.4",Flat 10% + 25% with Bank Offers
Chaiffee Cafe,"European, Fast Food₹2000 for two","Jeevan Bhima Nagar, East Bengaluru","Chaiffee CafeJeevan Bhima Nagar, East BengaluruEuropean, Fast Food₹2000 for two4.0",Flat 25% + 25% with Bank Offers
Chaiffee Cafe,"European, Fast Food₹2000 for two","Jeevan Bhima Nagar, East Bengaluru","Chaiffee CafeJeevan Bhima Nagar, East BengaluruEuropean, Fast Food₹2000 for two4.0",Flat 25% + 25% with Bank Offers
Catch Up - Brew House,Multicuisine₹2000 for two,"HSR, South Bengaluru","Catch Up - Brew HouseHSR, South BengaluruMulticuisine₹2000 for two3.5",Flat 10% + 25% with Bank Offers
Catch Up - Brew House,Multicuisine₹2000 for two,"HSR, South Bengaluru","Catch Up - Brew HouseHSR, South BengaluruMulticuisine₹2000 for two3.5",Flat 10% + 25% with Bank Offers
Mad Doh Sourdough Pizzeria & Bakes ,Italian₹1500 for two,"Rajarajeshwari Nagar, South Bengaluru","Mad Doh Sourdough Pizzeria & Bakes Rajarajeshwari Nagar, South BengaluruItalian₹1500 for two5.0",25% Off :Payeazy
Mad Doh Sourdough Pizzeria & Bakes ,Italian₹1500 for two,"Rajarajeshwari Nagar, South Bengaluru","Mad Doh Sourdough Pizzeria & Bakes Rajarajeshwari Nagar, South BengaluruItalian₹1500 for two5.0",25% Off :Payeazy
"Byg Brewski Brewing Company, Sarjapur",Multicuisine₹2000 for two,"Sarjapur Road, South Bengaluru","Byg Brewski Brewing Company, SarjapurSarjapur Road, South BengaluruMulticuisine₹2000 for two4.5",25% Off :Payeazy
"Byg Brewski Brewing Company, Sarjapur",Multicuisine₹2000 for two,"Sarjapur Road, South Bengaluru","Byg Brewski Brewing Company, SarjapurSarjapur Road, South BengaluruMulticuisine₹2000 for two4.5",25% Off :Payeazy
Mithai Mahal ,Multicuisine₹600 for two,"JP Nagar, South Bengaluru  | View All(3) Outlets","Mithai Mahal JP Nagar, South Bengaluru  | View All(3) OutletsMulticuisine₹600 for two3.8",25% Off :Payeazy
Mithai Mahal ,Multicuisine₹600 for two,"JP Nagar, South Bengaluru  | View All(3) Outlets","Mithai Mahal JP Nagar, South Bengaluru  | View All(3) OutletsMulticuisine₹600 for two3.8",25% Off :Payeazy
Batlee,Multicuisine₹2000 for two,"RBD Sarovar Portico, Bengaluru","BatleeRBD Sarovar Portico, BengaluruMulticuisine₹2000 for two3.5",Flat 15% + 25% with Bank Offers
Batlee,Multicuisine₹2000 for two,"RBD Sarovar Portico, Bengaluru","BatleeRBD Sarovar Portico, BengaluruMulticuisine₹2000 for two3.5",Flat 15% + 25% with Bank Offers
World On A Plate,Multicuisine₹2000 for two,"The Citrine Hotel, Bengaluru","World On A PlateThe Citrine Hotel, BengaluruMulticuisine₹2000 for two4.0",Flat 20% + 25% with Bank Offers
World On A Plate,Multicuisine₹2000 for two,"The Citrine Hotel, Bengaluru","World On A PlateThe Citrine Hotel, BengaluruMulticuisine₹2000 for two4.0",Flat 20% + 25% with Bank Offers
Sicilia Point,Italian₹2000 for two,"Rajajinagar, West Bengaluru","Sicilia PointRajajinagar, West BengaluruItalian₹2000 for two4.8",Flat 10% + 25% with Bank Offers
Sicilia Point,Italian₹2000 for two,"Rajajinagar, West Bengaluru","Sicilia PointRajajinagar, West BengaluruItalian₹2000 for two4.8",Flat 10% + 25% with Bank Offers
Underdoggs Whitefield,Multicuisine₹1300 for two,"Whitefield, East Bengaluru","Underdoggs WhitefieldWhitefield, East BengaluruMulticuisine₹1300 for two4.4",25% Off :Payeazy
Underdoggs Whitefield,Multicuisine₹1300 for two,"Whitefield, East Bengaluru","Underdoggs WhitefieldWhitefield, East BengaluruMulticuisine₹1300 for two4.4",25% Off :Payeazy
Jimi's Beer Cafe,Multicuisine₹2500 for two,"Indiranagar, East Bengaluru  | View All(1) Outlets","Jimi's Beer CafeIndiranagar, East Bengaluru  | View All(1) OutletsMulticuisine₹2500 for two4.2",25% Off :Payeazy
Jimi's Beer Cafe,Multicuisine₹2500 for two,"Indiranagar, East Bengaluru  | View All(1) Outlets","Jimi's Beer CafeIndiranagar, East Bengaluru  | View All(1) OutletsMulticuisine₹2500 for two4.2",25% Off :Payeazy
Jcubez,Multicuisine₹2000 for two,"Banashankari, South Bengaluru","JcubezBanashankari, South BengaluruMulticuisine₹2000 for two3.3",Flat 10% + 25% with Bank Offers
Jcubez,Multicuisine₹2000 for two,"Banashankari, South Bengaluru","JcubezBanashankari, South BengaluruMulticuisine₹2000 for two3.3",Flat 10% + 25% with Bank Offers
Suku ,"Japanese, Thai₹2000 for two","HSR, South Bengaluru","Suku HSR, South BengaluruJapanese, Thai₹2000 for two4.7",25% Off :Payeazy
Suku ,"Japanese, Thai₹2000 for two","HSR, South Bengaluru","Suku HSR, South BengaluruJapanese, Thai₹2000 for two4.7",25% Off :Payeazy
Terrace Bar & Kitchen,Multicuisine₹2500 for two,"JP Nagar, South Bengaluru","Terrace Bar & KitchenJP Nagar, South BengaluruMulticuisine₹2500 for two4.2",Flat 10% + 25% with Bank Offers
Terrace Bar & Kitchen,Multicuisine₹2500 for two,"JP Nagar, South Bengaluru","Terrace Bar & KitchenJP Nagar, South BengaluruMulticuisine₹2500 for two4.2",Flat 10% + 25% with Bank Offers
Navathanyam,South Indian₹2000 for two,"Domlur, East Bengaluru","NavathanyamDomlur, East BengaluruSouth Indian₹2000 for two4.2",25% Off :Payeazy
Navathanyam,South Indian₹2000 for two,"Domlur, East Bengaluru","NavathanyamDomlur, East BengaluruSouth Indian₹2000 for two4.2",25% Off :Payeazy
Sanchez And Sriracha ,Mexican₹2000 for two,"Nagawara, North Bengaluru","Sanchez And Sriracha Nagawara, North BengaluruMexican₹2000 for two4.8",Flat 10% + 25% with Bank Offers
Sanchez And Sriracha ,Mexican₹2000 for two,"Nagawara, North Bengaluru","Sanchez And Sriracha Nagawara, North BengaluruMexican₹2000 for two4.8",Flat 10% + 25% with Bank Offers
Dhaba - Estd 1986 Delhi,North Indian₹2000 for two,"12th main, East Bengaluru  | View All(3) Outlets","Dhaba - Estd 1986 Delhi12th main, East Bengaluru  | View All(3) OutletsNorth Indian₹2000 for two4.2",Flat 10% + 25% with Bank Offers
Dhaba - Estd 1986 Delhi,North Indian₹2000 for two,"12th main, East Bengaluru  | View All(3) Outlets","Dhaba - Estd 1986 Delhi12th main, East Bengaluru  | View All(3) OutletsNorth Indian₹2000 for two4.2",Flat 10% + 25% with Bank Offers
Blah Bla X,"Italian, Indian Coastal Cuisine, Pan Asian₹1400 for two","Phoenix Mall Of Asia, Yelahanka, Bengaluru","Blah Bla XPhoenix Mall Of Asia, Yelahanka, BengaluruItalian, Indian Coastal Cuisine, Pan Asian₹1400 for two3.0",Flat 10% + 25% with Bank Offers
Blah Bla X,"Italian, Indian Coastal Cuisine, Pan Asian₹1400 for two","Phoenix Mall Of Asia, Yelahanka, Bengaluru","Blah Bla XPhoenix Mall Of Asia, Yelahanka, BengaluruItalian, Indian Coastal Cuisine, Pan Asian₹1400 for two3.0",Flat 10% + 25% with Bank Offers
Moai - Redefined Vegetarian Dining,Multicuisine₹3000 for two,"Jayanagar, South Bengaluru","Moai - Redefined Vegetarian DiningJayanagar, South BengaluruMulticuisine₹3000 for two4.5",25% Off :Payeazy
Moai - Redefined Vegetarian Dining,Multicuisine₹3000 for two,"Jayanagar, South Bengaluru","Moai - Redefined Vegetarian DiningJayanagar, South BengaluruMulticuisine₹3000 for two4.5",25% Off :Payeazy
M Café,"Multicuisine, Continental, North Indian₹3800 for two",Bengaluru Marriott Hotel Whitefield,"M CaféBengaluru Marriott Hotel WhitefieldMulticuisine, Continental, North Indian₹3800 for two4.2",Flat 10% + 25% with Bank Offers
M Café,"Multicuisine, Continental, North Indian₹3800 for two",Bengaluru Marriott Hotel Whitefield,"M CaféBengaluru Marriott Hotel WhitefieldMulticuisine, Continental, North Indian₹3800 for two4.2",Flat 10% + 25% with Bank Offers
Asia Alive - Global Dining,Multicuisine₹2500 for two,"DoubleTree Suites By Hilton, Bengaluru","Asia Alive - Global DiningDoubleTree Suites By Hilton, BengaluruMulticuisine₹2500 for two3.9",Flat 15% + 25% with Bank Offers
Asia Alive - Global Dining,Multicuisine₹2500 for two,"DoubleTree Suites By Hilton, Bengaluru","Asia Alive - Global DiningDoubleTree Suites By Hilton, BengaluruMulticuisine₹2500 for two3.9",Flat 15% + 25% with Bank Offers
Cosmo Dhaba,"North Indian, Chinese₹800 for two","HSR, South Bengaluru","Cosmo DhabaHSR, South BengaluruNorth Indian, Chinese₹800 for two3.8",25% Off :Payeazy
Cosmo Dhaba,"North Indian, Chinese₹800 for two","HSR, South Bengaluru","Cosmo DhabaHSR, South BengaluruNorth Indian, Chinese₹800 for two3.8",25% Off :Payeazy
Jook Taproom,Multicuisine₹2000 for two,"Yelahanka, North Bengaluru  | View All(2) Outlets","Jook TaproomYelahanka, North Bengaluru  | View All(2) OutletsMulticuisine₹2000 for two4.4",Flat 10% + 25% with Bank Offers
Jook Taproom,Multicuisine₹2000 for two,"Yelahanka, North Bengaluru  | View All(2) Outlets","Jook TaproomYelahanka, North Bengaluru  | View All(2) OutletsMulticuisine₹2000 for two4.4",Flat 10% + 25% with Bank Offers
EtOH Rooftop Restaurant | Bar,Multicuisine₹1000 for two,"Electronic City, South Bengaluru","EtOH Rooftop Restaurant | BarElectronic City, South BengaluruMulticuisine₹1000 for two5.0",Flat 10% + 25% with Bank Offers
EtOH Rooftop Restaurant | Bar,Multicuisine₹1000 for two,"Electronic City, South Bengaluru","EtOH Rooftop Restaurant | BarElectronic City, South BengaluruMulticuisine₹1000 for two5.0",Flat 10% + 25% with Bank Offers
Copitas,"Cocktail Menu, Finger Food₹2500 for two",Four Seasons Hotel Bengaluru at Embassy ONE,"CopitasFour Seasons Hotel Bengaluru at Embassy ONECocktail Menu, Finger Food₹2500 for two4.9",Flat 15% + 25% with Bank Offers
Copitas,"Cocktail Menu, Finger Food₹2500 for two",Four Seasons Hotel Bengaluru at Embassy ONE,"CopitasFour Seasons Hotel Bengaluru at Embassy ONECocktail Menu, Finger Food₹2500 for two4.9",Flat 15% + 25% with Bank Offers
re:cess,Desserts₹2000 for two,Hilton Bangalore Embassy GolfLinks,re:cessHilton Bangalore Embassy GolfLinksDesserts₹2000 for two4.7,Flat 15% + 25% with Bank Offers
re:cess,Desserts₹2000 for two,Hilton Bangalore Embassy GolfLinks,re:cessHilton Bangalore Embassy GolfLinksDesserts₹2000 for two4.7,Flat 15% + 25% with Bank Offers
House of Commons,"Finger Food, North Indian₹1500 for two","Indiranagar, East Bengaluru  | View All(5) Outlets","House of CommonsIndiranagar, East Bengaluru  | View All(5) OutletsFinger Food, North Indian₹1500 for two5.0",25% Off :Payeazy
House of Commons,"Finger Food, North Indian₹1500 for two","Indiranagar, East Bengaluru  | View All(5) Outlets","House of CommonsIndiranagar, East Bengaluru  | View All(5) OutletsFinger Food, North Indian₹1500 for two5.0",25% Off :Payeazy
Seta,"Mediterranean, Asian₹4500 for two",Hilton Bangalore Embassy GolfLinks,"SetaHilton Bangalore Embassy GolfLinksMediterranean, Asian₹4500 for two4.8",Flat 15% + 25% with Bank Offers
Seta,"Mediterranean, Asian₹4500 for two",Hilton Bangalore Embassy GolfLinks,"SetaHilton Bangalore Embassy GolfLinksMediterranean, Asian₹4500 for two4.8",Flat 15% + 25% with Bank Offers
Rajwadi,Multicuisine₹2000 for two,"Brookefield, East Bengaluru","RajwadiBrookefield, East BengaluruMulticuisine₹2000 for two3.9",Flat 10% + 25% with Bank Offers
Rajwadi,Multicuisine₹2000 for two,"Brookefield, East Bengaluru","RajwadiBrookefield, East BengaluruMulticuisine₹2000 for two3.9",Flat 10% + 25% with Bank Offers
Marbella Multi Cuisine Rooftop,Multicuisine₹2000 for two,"JP Nagar, South Bengaluru","Marbella Multi Cuisine RooftopJP Nagar, South BengaluruMulticuisine₹2000 for two3.8",Flat 10% + 25% with Bank Offers
Marbella Multi Cuisine Rooftop,Multicuisine₹2000 for two,"JP Nagar, South Bengaluru","Marbella Multi Cuisine RooftopJP Nagar, South BengaluruMulticuisine₹2000 for two3.8",Flat 10% + 25% with Bank Offers
Hyderabad Firewood Biryani,Multicuisine₹700 for two,"Panathur, Bengaluru","Hyderabad Firewood BiryaniPanathur, BengaluruMulticuisine₹700 for two4.0",Flat 25% + 25% with Bank Offers
Hyderabad Firewood Biryani,Multicuisine₹700 for two,"Panathur, Bengaluru","Hyderabad Firewood BiryaniPanathur, BengaluruMulticuisine₹700 for two4.0",Flat 25% + 25% with Bank Offers
Rumi - The Spirit Of Awadh,"Awadhi, North Indian₹700 for two","Kothanur, Bengaluru","Rumi - The Spirit Of AwadhKothanur, BengaluruAwadhi, North Indian₹700 for two5.0",25% Off :Payeazy
Rumi - The Spirit Of Awadh,"Awadhi, North Indian₹700 for two","Kothanur, Bengaluru","Rumi - The Spirit Of AwadhKothanur, BengaluruAwadhi, North Indian₹700 for two5.0",25% Off :Payeazy
Coffee Brewery - Banashankari 6th Stage,Cafe₹3000 for two,"Banashankari, South Bengaluru","Coffee Brewery - Banashankari 6th StageBanashankari, South BengaluruCafe₹3000 for two5.0",Flat 10% + 25% with Bank Offers
Coffee Brewery - Banashankari 6th Stage,Cafe₹3000 for two,"Banashankari, South Bengaluru","Coffee Brewery - Banashankari 6th StageBanashankari, South BengaluruCafe₹3000 for two5.0",Flat 10% + 25% with Bank Offers
Kake Di Hatti Mekhri Circle,North Indian₹2000 for two,"Ganganagar, North Bengaluru","Kake Di Hatti Mekhri CircleGanganagar, North BengaluruNorth Indian₹2000 for two5.0",25% Off :Payeazy
Kake Di Hatti Mekhri Circle,North Indian₹2000 for two,"Ganganagar, North Bengaluru","Kake Di Hatti Mekhri CircleGanganagar, North BengaluruNorth Indian₹2000 for two5.0",25% Off :Payeazy
Food Affair - Veg Family Restaurant,Multicuisine₹2000 for two,"BTM, South Bengaluru","Food Affair - Veg Family RestaurantBTM, South BengaluruMulticuisine₹2000 for two4.7",Flat 10% + 25% with Bank Offers
Food Affair - Veg Family Restaurant,Multicuisine₹2000 for two,"BTM, South Bengaluru","Food Affair - Veg Family RestaurantBTM, South BengaluruMulticuisine₹2000 for two4.7",Flat 10% + 25% with Bank Offers
Baan Phadthai Indiranagar,Thai₹2000 for two,"Indiranagar, East Bengaluru  | View All(2) Outlets","Baan Phadthai IndiranagarIndiranagar, East Bengaluru  | View All(2) OutletsThai₹2000 for two4.0",25% Off :Payeazy
Baan Phadthai Indiranagar,Thai₹2000 for two,"Indiranagar, East Bengaluru  | View All(2) Outlets","Baan Phadthai IndiranagarIndiranagar, East Bengaluru  | View All(2) OutletsThai₹2000 for two4.0",25% Off :Payeazy
Lotus,Indian₹2000 for two,"Visthara Hotel, Bengaluru","LotusVisthara Hotel, BengaluruIndian₹2000 for two4.3",Flat 15% + 25% with Bank Offers
Lotus,Indian₹2000 for two,"Visthara Hotel, Bengaluru","LotusVisthara Hotel, BengaluruIndian₹2000 for two4.3",Flat 15% + 25% with Bank Offers
Xero Degrees,"American, Cafe, Italian₹2000 for two","Koramangala, South Bengaluru  | View All(6) Outlets","Xero DegreesKoramangala, South Bengaluru  | View All(6) OutletsAmerican, Cafe, Italian₹2000 for two4.3",25% Off :Payeazy
Xero Degrees,"American, Cafe, Italian₹2000 for two","Koramangala, South Bengaluru  | View All(6) Outlets","Xero DegreesKoramangala, South Bengaluru  | View All(6) OutletsAmerican, Cafe, Italian₹2000 for two4.3",25% Off :Payeazy
Zenforest Coffee Roasters,Cafe₹2500 for two,"Sahakara Nagar, North Bengaluru","Zenforest Coffee RoastersSahakara Nagar, North BengaluruCafe₹2500 for two4.0",Flat 10% + 25% with Bank Offers
Zenforest Coffee Roasters,Cafe₹2500 for two,"Sahakara Nagar, North Bengaluru","Zenforest Coffee RoastersSahakara Nagar, North BengaluruCafe₹2500 for two4.0",Flat 10% + 25% with Bank Offers
Tuk Tuk Thai - Pure Veg Asian Fine Dine,Asian₹2000 for two,"JP Nagar, South Bengaluru  | View All(5) Outlets","Tuk Tuk Thai - Pure Veg Asian Fine DineJP Nagar, South Bengaluru  | View All(5) OutletsAsian₹2000 for two4.8",25% Off :Payeazy
Tuk Tuk Thai - Pure Veg Asian Fine Dine,Asian₹2000 for two,"JP Nagar, South Bengaluru  | View All(5) Outlets","Tuk Tuk Thai - Pure Veg Asian Fine DineJP Nagar, South Bengaluru  | View All(5) OutletsAsian₹2000 for two4.8",25% Off :Payeazy
Jollygunj,Indian₹1800 for two,"JP Nagar, South Bengaluru  | View All(3) Outlets","JollygunjJP Nagar, South Bengaluru  | View All(3) OutletsIndian₹1800 for two4.2",25% Off :Payeazy
Jollygunj,Indian₹1800 for two,"JP Nagar, South Bengaluru  | View All(3) Outlets","JollygunjJP Nagar, South Bengaluru  | View All(3) OutletsIndian₹1800 for two4.2",25% Off :Payeazy
Jamie Oliver's Pizzeria,Pizza₹2000 for two,"Koramangala, South Bengaluru","Jamie Oliver's PizzeriaKoramangala, South BengaluruPizza₹2000 for two4.0",Flat 20% + 25% with Bank Offers
Jamie Oliver's Pizzeria,Pizza₹2000 for two,"Koramangala, South Bengaluru","Jamie Oliver's PizzeriaKoramangala, South BengaluruPizza₹2000 for two4.0",Flat 20% + 25% with Bank Offers
Rajdhani Thali Restaurant,Rajasthani₹2000 for two,"Indiranagar, East Bengaluru  | View All(8) Outlets","Rajdhani Thali RestaurantIndiranagar, East Bengaluru  | View All(8) OutletsRajasthani₹2000 for two4.5",25% Off :Payeazy
Rajdhani Thali Restaurant,Rajasthani₹2000 for two,"Indiranagar, East Bengaluru  | View All(8) Outlets","Rajdhani Thali RestaurantIndiranagar, East Bengaluru  | View All(8) OutletsRajasthani₹2000 for two4.5",25% Off :Payeazy
Deck 6 Rooftop Lounge,"Indian, Pan Asian, Continental₹1500 for two","Chethan International, Bengaluru","Deck 6 Rooftop LoungeChethan International, BengaluruIndian, Pan Asian, Continental₹1500 for two4.0",Flat 20% + 25% with Bank Offers
Deck 6 Rooftop Lounge,"Indian, Pan Asian, Continental₹1500 for two","Chethan International, Bengaluru","Deck 6 Rooftop LoungeChethan International, BengaluruIndian, Pan Asian, Continental₹1500 for two4.0",Flat 20% + 25% with Bank Offers
Cafe Happy Place,"American, European₹1000 for two","R.M.V. 2nd Stage, Central Bengaluru","Cafe Happy PlaceR.M.V. 2nd Stage, Central BengaluruAmerican, European₹1000 for two5.0",Flat 10% + 25% with Bank Offers
Cafe Happy Place,"American, European₹1000 for two","R.M.V. 2nd Stage, Central Bengaluru","Cafe Happy PlaceR.M.V. 2nd Stage, Central BengaluruAmerican, European₹1000 for two5.0",Flat 10% + 25% with Bank Offers
Republic Of Noodles,Pan Asian₹1500 for two,"Lemon Tree Hotel, Electronic City","Republic Of NoodlesLemon Tree Hotel, Electronic CityPan Asian₹1500 for two4.0",25% Off :Payeazy
Republic Of Noodles,Pan Asian₹1500 for two,"Lemon Tree Hotel, Electronic City","Republic Of NoodlesLemon Tree Hotel, Electronic CityPan Asian₹1500 for two4.0",25% Off :Payeazy
