Restaurants_Name,Cost_of_two,Areas,Reatings,Discounts
Pasta Street,Multicuisine₹2000 for two,"Cunningham Road, Central Bengaluru  | View All(8) Outlets","Pasta StreetCunningham Road, Central Bengaluru  | View All(8) OutletsMulticuisine₹2000 for two4.6",25% Off :Payeazy
Pasta Street,Multicuisine₹2000 for two,"Cunningham Road, Central Bengaluru  | View All(8) Outlets","Pasta StreetCunningham Road, Central Bengaluru  | View All(8) OutletsMulticuisine₹2000 for two4.6",25% Off :Payeazy
Cahoots Classic Bar House,Multicuisine₹4000 for two,"Brigade Road, Central Bengaluru","Cahoots Classic Bar HouseBrigade Road, Central BengaluruMulticuisine₹4000 for two4.9",Flat 10% + 25% with Bank Offers
Cahoots Classic Bar House,Multicuisine₹4000 for two,"Brigade Road, Central Bengaluru","Cahoots Classic Bar HouseBrigade Road, Central BengaluruMulticuisine₹4000 for two4.9",Flat 10% + 25% with Bank Offers
Full Peg,"Finger Food, Cocktail Menu₹1000 for two","Nagarbhavi, West Bengaluru","Full PegNagarbhavi, West BengaluruFinger Food, Cocktail Menu₹1000 for two4.0",Flat 50% + 25% with Bank Offers
Full Peg,"Finger Food, Cocktail Menu₹1000 for two","Nagarbhavi, West Bengaluru","Full PegNagarbhavi, West BengaluruFinger Food, Cocktail Menu₹1000 for two4.0",Flat 50% + 25% with Bank Offers
The Biere Club,"Cocktail Menu, Multicuisine₹2000 for two","Lavelle Road, Central Bengaluru  | View All(2) Outlets","The Biere ClubLavelle Road, Central Bengaluru  | View All(2) OutletsCocktail Menu, Multicuisine₹2000 for two4.4",Flat 10% + 25% with Bank Offers
The Biere Club,"Cocktail Menu, Multicuisine₹2000 for two","Lavelle Road, Central Bengaluru  | View All(2) Outlets","The Biere ClubLavelle Road, Central Bengaluru  | View All(2) OutletsCocktail Menu, Multicuisine₹2000 for two4.4",Flat 10% + 25% with Bank Offers
Citrus Cafe,Multicuisine₹1500 for two,"Lemon Tree Premier, Ulsoor","Citrus CafeLemon Tree Premier, UlsoorMulticuisine₹1500 for two4.0",Flat 10% + 25% with Bank Offers
Citrus Cafe,Multicuisine₹1500 for two,"Lemon Tree Premier, Ulsoor","Citrus CafeLemon Tree Premier, UlsoorMulticuisine₹1500 for two4.0",Flat 10% + 25% with Bank Offers
Ssaffron,Indian₹2500 for two,Shangri-La Bengaluru,SsaffronShangri-La BengaluruIndian₹2500 for two4.5,Flat 10% + 25% with Bank Offers
Ssaffron,Indian₹2500 for two,Shangri-La Bengaluru,SsaffronShangri-La BengaluruIndian₹2500 for two4.5,Flat 10% + 25% with Bank Offers
Chin Lung Resto Bar,Multicuisine₹2000 for two,"Residency Road, Central Bengaluru  | View All(5) Outlets","Chin Lung Resto BarResidency Road, Central Bengaluru  | View All(5) OutletsMulticuisine₹2000 for two4.5",25% Off :Payeazy
Chin Lung Resto Bar,Multicuisine₹2000 for two,"Residency Road, Central Bengaluru  | View All(5) Outlets","Chin Lung Resto BarResidency Road, Central Bengaluru  | View All(5) OutletsMulticuisine₹2000 for two4.5",25% Off :Payeazy
Altitude Kitchen & Bar,"Cocktail Menu, Multicuisine₹2000 for two","Basaveshwara Nagar, West Bengaluru","Altitude Kitchen & BarBasaveshwara Nagar, West BengaluruCocktail Menu, Multicuisine₹2000 for two3.4",Flat 20% + 25% with Bank Offers
Altitude Kitchen & Bar,"Cocktail Menu, Multicuisine₹2000 for two","Basaveshwara Nagar, West Bengaluru","Altitude Kitchen & BarBasaveshwara Nagar, West BengaluruCocktail Menu, Multicuisine₹2000 for two3.4",Flat 20% + 25% with Bank Offers
Pixi,Continental₹1600 for two,"Ashok Nagar, Bengaluru","PixiAshok Nagar, BengaluruContinental₹1600 for two5.0",25% Off :Payeazy
Pixi,Continental₹1600 for two,"Ashok Nagar, Bengaluru","PixiAshok Nagar, BengaluruContinental₹1600 for two5.0",25% Off :Payeazy
Kari Theory,"Cocktail Menu, Multicuisine₹2500 for two",Radisson Bengaluru City Center,"Kari TheoryRadisson Bengaluru City CenterCocktail Menu, Multicuisine₹2500 for two3.9",Flat 20% + 25% with Bank Offers
Kari Theory,"Cocktail Menu, Multicuisine₹2500 for two",Radisson Bengaluru City Center,"Kari TheoryRadisson Bengaluru City CenterCocktail Menu, Multicuisine₹2500 for two3.9",Flat 20% + 25% with Bank Offers
B Cafe,Multicuisine₹2500 for two,Shangri-La Bengaluru,B CafeShangri-La BengaluruMulticuisine₹2500 for two4.6,Flat 10% + 25% with Bank Offers
B Cafe,Multicuisine₹2500 for two,Shangri-La Bengaluru,B CafeShangri-La BengaluruMulticuisine₹2500 for two4.6,Flat 10% + 25% with Bank Offers
Zest,Multicuisine₹2100 for two,"Southern Star, Bengaluru","ZestSouthern Star, BengaluruMulticuisine₹2100 for two4.3",Flat 15% + 25% with Bank Offers
Zest,Multicuisine₹2100 for two,"Southern Star, Bengaluru","ZestSouthern Star, BengaluruMulticuisine₹2100 for two4.3",Flat 15% + 25% with Bank Offers
Just Blr,Multicuisine₹3000 for two,"Brigade Road, Central Bengaluru","Just BlrBrigade Road, Central BengaluruMulticuisine₹3000 for two4.5",25% Off :Payeazy
Just Blr,Multicuisine₹3000 for two,"Brigade Road, Central Bengaluru","Just BlrBrigade Road, Central BengaluruMulticuisine₹3000 for two4.5",25% Off :Payeazy
