Restaurants_Name,Cuisine,area,region,Discount,cost_of_two,ratings
The Rocks Bar & Kitchen,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,40,2000,3.0
Hamilton ,Finger Food,Hoodi,Bengaluru,25,1500,5.0
Hamilton ,Finger Food,Hoodi,Bengaluru,25,1500,5.0
Subz,Multicuisine,Jayanagar,South Bengaluru,25,2000,4.4
Subz,Multicuisine,Jayanagar,South Bengaluru,25,2000,4.4
Sea Route Family Resto Bar,Multicuisine,Rajajinagar,West Bengaluru,25,2000,4.5
Sea Route Family Resto Bar,Multicuisine,Rajajinagar,West Bengaluru,25,2000,4.5
Indus Flavour,Multicuisine,Hesaragahatta,North Bengaluru,35,2000,5.0
Indus Flavour,Multicuisine,Hesaragahatta,North Bengaluru,35,2000,5.0
Gardenwoods - Rooftop Kitchen,"Chinese, Indian, Barbeque",Kalyan Nagar,North Bengaluru,25,2000,4.3
Gardenwoods - Rooftop Kitchen,"Chinese, Indian, Barbeque",Kalyan Nagar,North Bengaluru,25,2000,4.3
Pizza Stop,Pizza,Vasanth Nagar,Central Bengaluru,50,700,4.0
Pizza Stop,Pizza,Vasanth Nagar,Central Bengaluru,50,700,4.0
The Brussels Waffle,Desserts,Koramangala,South Bengaluru,50,400,4.0
The Brussels Waffle,Desserts,Koramangala,South Bengaluru,50,400,4.0
Chairman's Restobar,Multicuisine,Chikkabanavara,North Bengaluru,25,2000,4.6
Chairman's Restobar,Multicuisine,Chikkabanavara,North Bengaluru,25,2000,4.6
Udupi Sree Vishnum,Indian,JP Nagar,South Bengaluru,35,200,5.0
Udupi Sree Vishnum,Indian,JP Nagar,South Bengaluru,35,200,5.0
Attil Coastal Cuisine Restaurant,Indian Coastal Cuisine,,,35,2000,3.0
Attil Coastal Cuisine Restaurant,Indian Coastal Cuisine,,,35,2000,3.0
The Pipe Rack,Multicuisine,Kalyan Nagar,North Bengaluru,45,2000,3.0
The Pipe Rack,Multicuisine,Kalyan Nagar,North Bengaluru,45,2000,3.0
 Mandarin Bites,Chinese,Banashankari,South Bengaluru,35,600,5.0
 Mandarin Bites,Chinese,Banashankari,South Bengaluru,35,600,5.0
The Lazy Turtle,Multicuisine,Koramangala,South Bengaluru,50,2000,3.8
The Lazy Turtle,Multicuisine,Koramangala,South Bengaluru,50,2000,3.8
Beijing Bites,"Chinese, Thai, Pan Asian",Hosa Road,Bengaluru,40,450,5.0
Beijing Bites,"Chinese, Thai, Pan Asian",Hosa Road,Bengaluru,40,450,5.0
Gardenwoods - Rooftop Kitchen,North Indian,Vijay Nagar,West Bengaluru,25,1000,4.0
Gardenwoods - Rooftop Kitchen,North Indian,Vijay Nagar,West Bengaluru,25,1000,4.0
The Shack - Restopub,"Fast Food, Cocktail Menu",,,40,2000,4.2
The Shack - Restopub,"Fast Food, Cocktail Menu",,,40,2000,4.2
Blue Shadow,Multicuisine,Davanam Sarovar Portico Suites,Bengaluru,45,1500,4.0
Blue Shadow,Multicuisine,Davanam Sarovar Portico Suites,Bengaluru,45,1500,4.0
Gulheera,Cafe,BTM,South Bengaluru,35,2000,5.0
Gulheera,Cafe,BTM,South Bengaluru,35,2000,5.0
Original Burger Co.,Burgers,JP Nagar 5th Phase,South Bengaluru,35,800,4.6
Original Burger Co.,Burgers,JP Nagar 5th Phase,South Bengaluru,35,800,4.6
The Noodle Theory,Pan Asian,Kundalahalli,Bengaluru,25,2000,4.7
The Noodle Theory,Pan Asian,Kundalahalli,Bengaluru,25,2000,4.7
Celeste By Mindescapes,Multicuisine,Koramangala,South Bengaluru,35,1800,5.0
Celeste By Mindescapes,Multicuisine,Koramangala,South Bengaluru,35,1800,5.0
Arabian Hot Spot,Multicuisine,Kalyan Nagar,North Bengaluru,35,800,5.0
Arabian Hot Spot,Multicuisine,Kalyan Nagar,North Bengaluru,35,800,5.0
Narmada,Multicuisine,Marathahalli,East Bengaluru,25,2000,4.3
Narmada,Multicuisine,Marathahalli,East Bengaluru,25,2000,4.3
What's In A Name,Multicuisine,Koramangala,South Bengaluru,35,2000,4.1
What's In A Name,Multicuisine,Koramangala,South Bengaluru,35,2000,4.1
The Fat Chef,"Italian, Continental",,,35,2000,4.3
The Fat Chef,"Italian, Continental",,,35,2000,4.3
Cafe Palmyra,"Cocktail Menu, Multicuisine",Palm Meadows Resort,Bengaluru,35,2500,4.4
Cafe Palmyra,"Cocktail Menu, Multicuisine",Palm Meadows Resort,Bengaluru,35,2500,4.4
Chimis Kitchen & Bar,Multicuisine,HSR,South Bengaluru,35,2000,4.3
Chimis Kitchen & Bar,Multicuisine,HSR,South Bengaluru,35,2000,4.3
Torye - Drink Dine & Dance,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,35,2000,4.0
Torye - Drink Dine & Dance,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,35,2000,4.0
Suvaii - A Pandyan Legacy,"Chettinad, South Indian",Indiranagar,East Bengaluru,25,2000,4.8
Suvaii - A Pandyan Legacy,"Chettinad, South Indian",Indiranagar,East Bengaluru,25,2000,4.8
Trishna,Multicuisine,Banaswadi,North Bengaluru,50,2000,4.3
Trishna,Multicuisine,Banaswadi,North Bengaluru,50,2000,4.3
Fiesta By Barbeque Nation,Multicuisine,,,25,1700,4.0
Fiesta By Barbeque Nation,Multicuisine,,,25,1700,4.0
Kappa Chakka Kandhari,Kerala,Koramangala,South Bengaluru,25,1600,4.3
Kappa Chakka Kandhari,Kerala,Koramangala,South Bengaluru,25,1600,4.3
Plunge,Multicuisine,Sheraton Grand,Bengaluru,35,2500,4.0
Plunge,Multicuisine,Sheraton Grand,Bengaluru,35,2500,4.0
BLR SKY,"North Indian, Continental",Hulimavu,Bengaluru,35,1600,4.0
BLR SKY,"North Indian, Continental",Hulimavu,Bengaluru,35,1600,4.0
Purvanchal Tokri,Multicuisine,Banaswadi,North Bengaluru,35,2000,2.3
Purvanchal Tokri,Multicuisine,Banaswadi,North Bengaluru,35,2000,2.3
The Terrace at Gilly's Redefined,"Multicuisine, Cocktail Menu",Koramangala,South Bengaluru,40,2000,3.7
The Terrace at Gilly's Redefined,"Multicuisine, Cocktail Menu",Koramangala,South Bengaluru,40,2000,3.7
Culture Rooftop Bar & Kitchen,Multicuisine,Yelahanka,North Bengaluru,35,2500,4.7
Culture Rooftop Bar & Kitchen,Multicuisine,Yelahanka,North Bengaluru,35,2500,4.7
Coast @ JP Nagar,"Seafood, Indian Coastal Cuisine",JP Nagar,South Bengaluru,35,2000,4.5
Coast @ JP Nagar,"Seafood, Indian Coastal Cuisine",JP Nagar,South Bengaluru,35,2000,4.5
Havelli,Multicuisine,s Club & Resort,Bengaluru,35,2000,3.6
Havelli,Multicuisine,s Club & Resort,Bengaluru,35,2000,3.6
Back Benchers Bar and Canteen,Multicuisine,Koramangala,South Bengaluru,35,1000,4.0
Back Benchers Bar and Canteen,Multicuisine,Koramangala,South Bengaluru,35,1000,4.0
Amul Ice Cream Parlour & Cafe,"Cafe, Coffee",BTM,South Bengaluru,35,400,4.0
Amul Ice Cream Parlour & Cafe,"Cafe, Coffee",BTM,South Bengaluru,35,400,4.0
Chowki Coastal Village,Multicuisine,Yelahanka,North Bengaluru,35,2000,3.7
Chowki Coastal Village,Multicuisine,Yelahanka,North Bengaluru,35,2000,3.7
Hi Tea De Atruim,Multicuisine,Gandhi Nagar,Central Bengaluru,45,2000,4.0
Hi Tea De Atruim,Multicuisine,Gandhi Nagar,Central Bengaluru,45,2000,4.0
Neemsi Restaurant,North Indian,Basavanagudi,South Bengaluru,25,1500,4.9
Neemsi Restaurant,North Indian,Basavanagudi,South Bengaluru,25,1500,4.9
Kha Restobar,"Chinese, Italian, Continental",Whitefield,East Bengaluru,35,900,4.0
Kha Restobar,"Chinese, Italian, Continental",Whitefield,East Bengaluru,35,900,4.0
La Loca,"Mexican, Multicuisine",JP Nagar,South Bengaluru,35,2500,4.0
La Loca,"Mexican, Multicuisine",JP Nagar,South Bengaluru,35,2500,4.0
Verve Coffee Lounge,"Coffee, Cafe",Howard Johnson,Bengaluru,50,2000,1.0
Verve Coffee Lounge,"Coffee, Cafe",Howard Johnson,Bengaluru,50,2000,1.0
Mayuri,"Multicuisine, Biryani",Electronic City,South Bengaluru,25,2000,4.3
Mayuri,"Multicuisine, Biryani",Electronic City,South Bengaluru,25,2000,4.3
Central Bar District (CBD),"Indian, Street Food, Fusion",HAL Old Airport Road,Bengaluru,45,1400,4.0
Central Bar District (CBD),"Indian, Street Food, Fusion",HAL Old Airport Road,Bengaluru,45,1400,4.0
Chifa,"Indian, Asian",Marathahalli,East Bengaluru,25,1000,5.0
Chifa,"Indian, Asian",Marathahalli,East Bengaluru,25,1000,5.0
Kalinga Bar,Multicuisine,Gandhi Nagar,Central Bengaluru,25,2000,4.5
Kalinga Bar,Multicuisine,Gandhi Nagar,Central Bengaluru,25,2000,4.5
Masala Martini,Multicuisine,New BEL Road,North Bengaluru,25,2000,4.6
Masala Martini,Multicuisine,New BEL Road,North Bengaluru,25,2000,4.6
Velvet Pub,Multicuisine,Vinayaka Nagar,Bengaluru,25,1000,3.0
Velvet Pub,Multicuisine,Vinayaka Nagar,Bengaluru,25,1000,3.0
Dhaba On The Highway,North Indian,Devanahalli,Bengaluru,35,2000,4.1
Dhaba On The Highway,North Indian,Devanahalli,Bengaluru,35,2000,4.1
Coffee Brewery,Multicuisine,Sarjapur Road,South Bengaluru,35,600,1.0
Coffee Brewery,Multicuisine,Sarjapur Road,South Bengaluru,35,600,1.0
Shoolin ,Multicuisine,Thavarekere,Bengaluru,40,2000,1.0
Shoolin ,Multicuisine,Thavarekere,Bengaluru,40,2000,1.0
Tap House 2.0,Multicuisine,Electronic City,South Bengaluru,35,1000,4.9
Tap House 2.0,Multicuisine,Electronic City,South Bengaluru,35,1000,4.9
MadiRa - Drink. Dine. Terrace,Multicuisine,Ullal,North Bengaluru,35,2000,5.0
MadiRa - Drink. Dine. Terrace,Multicuisine,Ullal,North Bengaluru,35,2000,5.0
Shinto,"Cafe, Pan Asian",Indiranagar,East Bengaluru,25,3000,5.0
Shinto,"Cafe, Pan Asian",Indiranagar,East Bengaluru,25,3000,5.0
Original Burger Co.,Burgers,Whitefield,East Bengaluru,35,800,4.0
Original Burger Co.,Burgers,Whitefield,East Bengaluru,35,800,4.0
Pasta Pasta,Italian,Sarjapur Road,South Bengaluru,35,2000,4.0
Pasta Pasta,Italian,Sarjapur Road,South Bengaluru,35,2000,4.0
Cravoury,Bakery,Electronic City,South Bengaluru,55,2000,4.0
Cravoury,Bakery,Electronic City,South Bengaluru,55,2000,4.0
Bogineni Cafe,Cafe,Seegehalli,East Bengaluru,35,2000,5.0
Bogineni Cafe,Cafe,Seegehalli,East Bengaluru,35,2000,5.0
Kababery,"Chinese, Indian",Bannerghatta Road,South Bengaluru,35,500,5.0
Kababery,"Chinese, Indian",Bannerghatta Road,South Bengaluru,35,500,5.0
Dhaba 1995 by Ramanashree ,Multicuisine,Yelahanka,North Bengaluru,35,2000,5.0
Dhaba 1995 by Ramanashree ,Multicuisine,Yelahanka,North Bengaluru,35,2000,5.0
Cafe Baha,"Continental, Italian",Yelenahalli,South Bengaluru,35,500,5.0
Cafe Baha,"Continental, Italian",Yelenahalli,South Bengaluru,35,500,5.0
Mumbai On My Plate,Fast Food,RK Hegde Nagar,Bengaluru,35,600,5.0
Mumbai On My Plate,Fast Food,RK Hegde Nagar,Bengaluru,35,600,5.0
Table for Tous,"Desserts, Cafe",HSR,South Bengaluru,35,2000,4.9
Table for Tous,"Desserts, Cafe",HSR,South Bengaluru,35,2000,4.9
Nido - Craft Kitchen & Bar,Multicuisine,Yelahanka,North Bengaluru,25,2500,4.5
Nido - Craft Kitchen & Bar,Multicuisine,Yelahanka,North Bengaluru,25,2500,4.5
Waves Bar & Kitchen,Multicuisine,Sarjapur Road,South Bengaluru,35,2000,4.5
Waves Bar & Kitchen,Multicuisine,Sarjapur Road,South Bengaluru,35,2000,4.5
Flavours of India,Multicuisine,,,40,2000,3.8
Flavours of India,Multicuisine,,,40,2000,3.8
Memories Resto Bar,Multicuisine,AECS Layout,South Bengaluru,25,2000,4.3
Memories Resto Bar,Multicuisine,AECS Layout,South Bengaluru,25,2000,4.3
Coastal Mama,Mangalorean,JP Nagar,South Bengaluru,35,500,3.0
Coastal Mama,Mangalorean,JP Nagar,South Bengaluru,35,500,3.0
The Terminal Restaurant,Multicuisine,Old Madras Road,East Bengaluru,25,1000,4.3
The Terminal Restaurant,Multicuisine,Old Madras Road,East Bengaluru,25,1000,4.3
The Rajputana,Gujarati,Kundalahalli,Bengaluru,35,2000,3.7
The Rajputana,Gujarati,Kundalahalli,Bengaluru,35,2000,3.7
Onesta,Italian,HSR,South Bengaluru,25,2000,4.1
Onesta,Italian,HSR,South Bengaluru,25,2000,4.1
Roast Your Beans,Fast Food,Ramada by Wyndham,Bengaluru,45,2000,4.9
Roast Your Beans,Fast Food,Ramada by Wyndham,Bengaluru,45,2000,4.9
Kebarbiq,Multicuisine,HSR,South Bengaluru,25,2000,4.2
Kebarbiq,Multicuisine,HSR,South Bengaluru,25,2000,4.2
The Salad Studio,Healthy Food,Koramangala,South Bengaluru,35,2000,4.0
The Salad Studio,Healthy Food,Koramangala,South Bengaluru,35,2000,4.0
Lunch Box - AT,"Chinese, Thai",Yelahanka,North Bengaluru,45,2000,5.0
Lunch Box - AT,"Chinese, Thai",Yelahanka,North Bengaluru,45,2000,5.0
Karibu,Multicuisine,The Zuri Whitefield,Bengaluru,35,2500,4.4
Karibu,Multicuisine,The Zuri Whitefield,Bengaluru,35,2500,4.4
Pari,Multicuisine,Rajajinagar,West Bengaluru,25,3000,4.3
Pari,Multicuisine,Rajajinagar,West Bengaluru,25,3000,4.3
The Broth Station,Pan Asian,BTM,South Bengaluru,35,2000,4.6
The Broth Station,Pan Asian,BTM,South Bengaluru,35,2000,4.6
Maiz Mexican Kitchen ,Mexican,Indiranagar,East Bengaluru,25,800,5.0
Maiz Mexican Kitchen ,Mexican,Indiranagar,East Bengaluru,25,800,5.0
Junglee,Fast Food,Indiranagar,East Bengaluru,25,600,4.0
Junglee,Fast Food,Indiranagar,East Bengaluru,25,600,4.0
The Kenko Life ,"Healthy Food, Pasta, Burgers",Koramangala,South Bengaluru,25,800,4.0
The Kenko Life ,"Healthy Food, Pasta, Burgers",Koramangala,South Bengaluru,25,800,4.0
Rasah Park Inn & Suites by Radisson,Multicuisine,Park Inn & Suites by Radisson,Bengaluru,35,2000,4.3
Rasah Park Inn & Suites by Radisson,Multicuisine,Park Inn & Suites by Radisson,Bengaluru,35,2000,4.3
Le-Celebration,Multicuisine,Akshayanagar,South Bengaluru,35,2000,4.3
Le-Celebration,Multicuisine,Akshayanagar,South Bengaluru,35,2000,4.3
The Hub,Multicuisine,,,40,2000,4.4
The Hub,Multicuisine,,,40,2000,4.4
Turquoise Bar,Multicuisine,,,45,2000,4.0
Turquoise Bar,Multicuisine,,,45,2000,4.0
Kampot,"Cambodian, Pan Asian, Vietnamese",Bellandur,South Bengaluru,35,2000,4.5
Kampot,"Cambodian, Pan Asian, Vietnamese",Bellandur,South Bengaluru,35,2000,4.5
The Azulian House,Global Cuisine,The Leela Palace,Bengaluru,35,5000,5.0
The Azulian House,Global Cuisine,The Leela Palace,Bengaluru,35,5000,5.0
Fasta Pizza ,Pizza,HSR,South Bengaluru,45,400,3.8
Fasta Pizza ,Pizza,HSR,South Bengaluru,45,400,3.8
Biryani By Kilo,"Biryani, Mughlai",Akshyanagar,Bengaluru,45,2000,3.8
Biryani By Kilo,"Biryani, Mughlai",Akshyanagar,Bengaluru,45,2000,3.8
Char & Co.,"Continental, Kebabs",Kalyan Nagar,North Bengaluru,25,1500,5.0
Char & Co.,"Continental, Kebabs",Kalyan Nagar,North Bengaluru,25,1500,5.0
Boarding Pass,Multicuisine,Marathahalli,East Bengaluru,45,2000,4.0
Boarding Pass,Multicuisine,Marathahalli,East Bengaluru,45,2000,4.0
"Adhira & Appa coffee, Bengaluru","Cafe, Bakery, Desserts",Sarjapur Road,South Bengaluru,35,500,4.0
"Adhira & Appa coffee, Bengaluru","Cafe, Bakery, Desserts",Sarjapur Road,South Bengaluru,35,500,4.0
RASA - Indian Kitchen,Multicuisine,Sahakara Nagar,North Bengaluru,25,650,3.8
RASA - Indian Kitchen,Multicuisine,Sahakara Nagar,North Bengaluru,25,650,3.8
Radio Bar,Multicuisine,Bellandur,South Bengaluru,25,2500,4.2
Radio Bar,Multicuisine,Bellandur,South Bengaluru,25,2500,4.2
Saarangi Fine Dining,Multicuisine,The Royal Comfort,Bengaluru,25,800,4.5
Saarangi Fine Dining,Multicuisine,The Royal Comfort,Bengaluru,25,800,4.5
Alto Vino ,"Italian, European",,,35,4800,4.3
Alto Vino ,"Italian, European",,,35,4800,4.3
ZIZA Taste of Frontier,Multicuisine,Thanisandra,Bengaluru,45,2000,2.5
ZIZA Taste of Frontier,Multicuisine,Thanisandra,Bengaluru,45,2000,2.5
Tingling Spice,Multicuisine,,,45,2000,4.2
Tingling Spice,Multicuisine,,,45,2000,4.2
Srinidhi Signature,Multicuisine,Whitefield,East Bengaluru,40,2000,4.4
Srinidhi Signature,Multicuisine,Whitefield,East Bengaluru,40,2000,4.4
Zen ,"Pan Asian, Asian",The Leela Palace,Bengaluru,35,7080,4.4
Zen ,"Pan Asian, Asian",The Leela Palace,Bengaluru,35,7080,4.4
Qissa Arabic Restaurant,Arabian,Indiranagar,East Bengaluru,25,2000,4.4
Qissa Arabic Restaurant,Arabian,Indiranagar,East Bengaluru,25,2000,4.4
Zero Degree On The Hill Brewery And Kitchen,North Indian,Rajarajeshwari Nagar,South Bengaluru,25,2000,5.0
Zero Degree On The Hill Brewery And Kitchen,North Indian,Rajarajeshwari Nagar,South Bengaluru,25,2000,5.0
Neravi,Multicuisine,RT Nagar,North Bengaluru,40,2000,3.3
Neravi,Multicuisine,RT Nagar,North Bengaluru,40,2000,3.3
Checkered Bar,Multicuisine,The MGM Mark Whitefield,Bengaluru,45,2000,4.0
Checkered Bar,Multicuisine,The MGM Mark Whitefield,Bengaluru,45,2000,4.0
Garden by su,Multicuisine,Jayanagar,South Bengaluru,25,2000,4.3
Garden by su,Multicuisine,Jayanagar,South Bengaluru,25,2000,4.3
Oakleaf,Multicuisine,,,45,2500,4.5
Oakleaf,Multicuisine,,,45,2500,4.5
Nostalgia Kolkata,Bengali,Koramangala,South Bengaluru,35,600,3.0
Nostalgia Kolkata,Bengali,Koramangala,South Bengaluru,35,600,3.0
Nom Nom - Asian Bar & Eatery,"Finger Food, Cocktail Menu, Pan Asian",Kaikondrahalli,Bengaluru,25,2500,4.2
Nom Nom - Asian Bar & Eatery,"Finger Food, Cocktail Menu, Pan Asian",Kaikondrahalli,Bengaluru,25,2500,4.2
The Warehouse Bar & Kitchen,Multicuisine,Devanahalli,Bengaluru,35,1000,4.0
The Warehouse Bar & Kitchen,Multicuisine,Devanahalli,Bengaluru,35,1000,4.0
Blue Waters,North Indian,Bannerghatta Road,South Bengaluru,35,2000,4.0
Blue Waters,North Indian,Bannerghatta Road,South Bengaluru,35,2000,4.0
20 Char,Multicuisine,Sterlings Mac Hotel,Bengaluru,40,2300,4.0
20 Char,Multicuisine,Sterlings Mac Hotel,Bengaluru,40,2300,4.0
The Terrace Bar,North Indian,Fortune Park JP Celestial,Bengaluru,40,2000,4.0
The Terrace Bar,North Indian,Fortune Park JP Celestial,Bengaluru,40,2000,4.0
Buns And Butter,Continental,Koramangala,South Bengaluru,45,400,4.0
Buns And Butter,Continental,Koramangala,South Bengaluru,45,400,4.0
Mashriq mandi,Multicuisine,Koramangala 5th Block,South Bengaluru,25,600,5.0
Mashriq mandi,Multicuisine,Koramangala 5th Block,South Bengaluru,25,600,5.0
Plunge - By Vapor,Multicuisine,Kammanahalli,East Bengaluru,40,2000,5.0
Plunge - By Vapor,Multicuisine,Kammanahalli,East Bengaluru,40,2000,5.0
Board 4 Bored,Multicuisine,Basavanagudi,South Bengaluru,25,2000,4.7
Board 4 Bored,Multicuisine,Basavanagudi,South Bengaluru,25,2000,4.7
Hunaaan,Pan Asian,New BEL Road,North Bengaluru,25,1500,4.5
Hunaaan,Pan Asian,New BEL Road,North Bengaluru,25,1500,4.5
Samron Restaurant,Multicuisine,Rajajinagar,West Bengaluru,25,2500,4.2
Samron Restaurant,Multicuisine,Rajajinagar,West Bengaluru,25,2500,4.2
Hydeout Bar and Lounge,Finger Food,,,35,2000,4.0
Hydeout Bar and Lounge,Finger Food,,,35,2000,4.0
Jam's Kitchen,Multicuisine,Rajajinagar,West Bengaluru,45,2000,4.0
Jam's Kitchen,Multicuisine,Rajajinagar,West Bengaluru,45,2000,4.0
Sip Society Bar & Kitchen,"Finger Food, Indian, Cocktail Menu",Panathur,Bengaluru,25,1000,4.0
Sip Society Bar & Kitchen,"Finger Food, Indian, Cocktail Menu",Panathur,Bengaluru,25,1000,4.0
Yuki - Cocktail Bar and Kitchen,Pan Asian,Whitefield,East Bengaluru,25,1500,4.7
Yuki - Cocktail Bar and Kitchen,Pan Asian,Whitefield,East Bengaluru,25,1500,4.7
Izanagi,Japanese,Indiranagar,East Bengaluru,25,2000,4.1
Izanagi,Japanese,Indiranagar,East Bengaluru,25,2000,4.1
The Groot,European,Bhartiya Mall,Bengaluru,25,2000,4.0
The Groot,European,Bhartiya Mall,Bengaluru,25,2000,4.0
Zafrani House,"Indian, Arabian, Chinese",Kanakapura Road,South Bengaluru,35,500,4.6
Zafrani House,"Indian, Arabian, Chinese",Kanakapura Road,South Bengaluru,35,500,4.6
Sixth Stage Pub,Multicuisine,Banashankari,South Bengaluru,25,1000,5.0
Sixth Stage Pub,Multicuisine,Banashankari,South Bengaluru,25,1000,5.0
The Spice Studio,Indian,Brookefield,East Bengaluru,25,2000,3.7
The Spice Studio,Indian,Brookefield,East Bengaluru,25,2000,3.7
The Coral,Mangalorean,BTM,South Bengaluru,25,800,5.0
The Coral,Mangalorean,BTM,South Bengaluru,25,800,5.0
H3Y Salad Cafe,"Shakes, Continental",Kalyan Nagar,North Bengaluru,35,500,5.0
H3Y Salad Cafe,"Shakes, Continental",Kalyan Nagar,North Bengaluru,35,500,5.0
Fish Fryday,Seafood,HSR,South Bengaluru,25,2000,5.0
Fish Fryday,Seafood,HSR,South Bengaluru,25,2000,5.0
Simply Native,South Indian,Domlur,East Bengaluru,40,2000,3.5
Simply Native,South Indian,Domlur,East Bengaluru,40,2000,3.5
CoKAnut Flames,Indian,Electronic City Phase 1,South Bengaluru,45,450,4.0
CoKAnut Flames,Indian,Electronic City Phase 1,South Bengaluru,45,450,4.0
Anantha Pure Veg ,North Indian,Rajarajeshwari Nagar,South Bengaluru,25,1000,4.1
Anantha Pure Veg ,North Indian,Rajarajeshwari Nagar,South Bengaluru,25,1000,4.1
Pind Balluchi,North Indian,Kaikondrahalli,Bengaluru,25,800,3.6
Pind Balluchi,North Indian,Kaikondrahalli,Bengaluru,25,800,3.6
Toy Boy,"Finger Food, Cocktail Menu",,,25,2000,3.8
Toy Boy,"Finger Food, Cocktail Menu",,,25,2000,3.8
No Limmits Global Desi & Bar,Multicuisine,Yelahanka,North Bengaluru,45,2000,4.0
No Limmits Global Desi & Bar,Multicuisine,Yelahanka,North Bengaluru,45,2000,4.0
Andrea's Brasserie,Multicuisine,Yelahanka,North Bengaluru,25,1600,4.7
Andrea's Brasserie,Multicuisine,Yelahanka,North Bengaluru,25,1600,4.7
Unlock Bar,"Cocktail Menu, Finger Food","Keys Select By Lemon Tree Hotels, Hosur Road",Bengaluru,25,1000,4.0
Unlock Bar,"Cocktail Menu, Finger Food","Keys Select By Lemon Tree Hotels, Hosur Road",Bengaluru,25,1000,4.0
Cheers Parathas,Multicuisine,Kanakapura Road,South Bengaluru,50,2000,5.0
Cheers Parathas,Multicuisine,Kanakapura Road,South Bengaluru,50,2000,5.0
Rajdhani Mall Of Asia,"Gujarati, Rajasthani","Phoenix Mall Of Asia, Yelahanka",Bengaluru,25,2000,4.2
Rajdhani Mall Of Asia,"Gujarati, Rajasthani","Phoenix Mall Of Asia, Yelahanka",Bengaluru,25,2000,4.2
Charcoal Veg Grill,Multicuisine,Jayanagar,South Bengaluru,35,1200,2.4
Charcoal Veg Grill,Multicuisine,Jayanagar,South Bengaluru,35,1200,2.4
Neemsi Restaurant,Global Cuisine,JP Nagar,South Bengaluru,25,1500,4.8
Neemsi Restaurant,Global Cuisine,JP Nagar,South Bengaluru,25,1500,4.8
Kritunga Restaurant,Multicuisine,Whitefield,East Bengaluru,35,2000,3.8
Kritunga Restaurant,Multicuisine,Whitefield,East Bengaluru,35,2000,3.8
Quench Bar,"Finger Food, Cocktail Menu",Domlur,East Bengaluru,40,2000,1.0
Quench Bar,"Finger Food, Cocktail Menu",Domlur,East Bengaluru,40,2000,1.0
Antra Veg,Multicuisine,Banashankari,South Bengaluru,25,2000,4.6
Antra Veg,Multicuisine,Banashankari,South Bengaluru,25,2000,4.6
Kung Food,"Chinese, Thai",Banaswadi,North Bengaluru,45,2000,4.0
Kung Food,"Chinese, Thai",Banaswadi,North Bengaluru,45,2000,4.0
Kenzai,Multicuisine,New BEL Road,North Bengaluru,35,2000,4.1
Kenzai,Multicuisine,New BEL Road,North Bengaluru,35,2000,4.1
My Tea House,Multicuisine,Banashankari,South Bengaluru,45,2000,4.0
My Tea House,Multicuisine,Banashankari,South Bengaluru,45,2000,4.0
Skylark Resto Bar,Multicuisine,Nagarbhavi,West Bengaluru,35,2000,3.8
Skylark Resto Bar,Multicuisine,Nagarbhavi,West Bengaluru,35,2000,3.8
Hashtag 88 Resto Bar,Multicuisine,Marathahalli,East Bengaluru,25,2000,4.2
Hashtag 88 Resto Bar,Multicuisine,Marathahalli,East Bengaluru,25,2000,4.2
Drava,Multicuisine,Koramangala,South Bengaluru,35,2000,4.1
Drava,Multicuisine,Koramangala,South Bengaluru,35,2000,4.1
Gustoes,Barbeque,Jayanagar,South Bengaluru,25,2000,3.7
Gustoes,Barbeque,Jayanagar,South Bengaluru,25,2000,3.7
The Dreaming Tree,"Italian, Mexican",HSR,South Bengaluru,25,900,4.6
The Dreaming Tree,"Italian, Mexican",HSR,South Bengaluru,25,900,4.6
2 RABBITS BAKES,"Bakery, Cafe",Koramangala,South Bengaluru,35,2000,4.0
2 RABBITS BAKES,"Bakery, Cafe",Koramangala,South Bengaluru,35,2000,4.0
Mirth,Multicuisine,Indiranagar,East Bengaluru,25,2500,5.0
Mirth,Multicuisine,Indiranagar,East Bengaluru,25,2500,5.0
Kitchen De Buffet,Multicuisine,Gandhi Nagar,Central Bengaluru,35,2000,4.8
Kitchen De Buffet,Multicuisine,Gandhi Nagar,Central Bengaluru,35,2000,4.8
Rajdhani,"Gujarati, Rajasthani, North Indian",,,25,2500,4.1
Rajdhani,"Gujarati, Rajasthani, North Indian",,,25,2500,4.1
Panacea,"Cocktail Menu, Finger Food",Kadubeesanahalli,Bengaluru,25,1200,3.0
Panacea,"Cocktail Menu, Finger Food",Kadubeesanahalli,Bengaluru,25,1200,3.0
Chime,"Cocktail Menu, Asian",Sheraton Grand,Bengaluru,40,2000,4.5
Chime,"Cocktail Menu, Asian",Sheraton Grand,Bengaluru,40,2000,4.5
Brunchilly,Multicuisine,RBD Sarovar Portico,Bengaluru,35,2000,4.2
Brunchilly,Multicuisine,RBD Sarovar Portico,Bengaluru,35,2000,4.2
Shokudo ,"Japanese, Pan Asian, Korean",Whitefield,East Bengaluru,25,2000,4.8
Shokudo ,"Japanese, Pan Asian, Korean",Whitefield,East Bengaluru,25,2000,4.8
Pepe's Pizza,Pizza,Brookefield,East Bengaluru,45,2000,4.3
Pepe's Pizza,Pizza,Brookefield,East Bengaluru,45,2000,4.3
