Restaurants_Name,Cuisine,area,region,Discount,cost_of_two,ratings
Boho,Multicuisine,Koramangala,South Bengaluru,35,1200,4.1
Eywa Cafe,Continental,Banashankari,South Bengaluru,25,2000,4.9
Eywa Cafe,Continental,Banashankari,South Bengaluru,25,2000,4.9
Saarai Bar & Kitchen,"Finger Food, Multicuisine",Jayanagar,South Bengaluru,25,2000,4.3
Saarai Bar & Kitchen,"Finger Food, Multicuisine",Jayanagar,South Bengaluru,25,2000,4.3
5C Resto Pub & Kitchen,Multicuisine,Rajajinagar,West Bengaluru,35,2000,4.3
5C Resto Pub & Kitchen,Multicuisine,Rajajinagar,West Bengaluru,35,2000,4.3
SpiceKlub,"Indian, Italian",Jayanagar,South Bengaluru,25,2000,4.8
SpiceKlub,"Indian, Italian",Jayanagar,South Bengaluru,25,2000,4.8
Story of Kolkata,Bengali,Koramangala,South Bengaluru,35,900,5.0
Story of Kolkata,Bengali,Koramangala,South Bengaluru,35,900,5.0
33&Brew,Continental,Brookefield,East Bengaluru,25,2000,5.0
33&Brew,Continental,Brookefield,East Bengaluru,25,2000,5.0
Citrus ,Multicuisine,The Leela Palace,Bengaluru,35,5900,4.5
Citrus ,Multicuisine,The Leela Palace,Bengaluru,35,5900,4.5
Great Room,Multicuisine,Holiday Inn Express & Suites,Bengaluru,40,2500,3.0
Great Room,Multicuisine,Holiday Inn Express & Suites,Bengaluru,40,2500,3.0
The Watering Hole,"Finger Food, Cocktail Menu",BTM,South Bengaluru,35,2000,3.7
The Watering Hole,"Finger Food, Cocktail Menu",BTM,South Bengaluru,35,2000,3.7
Thyme & Whisk,Multicuisine,Jayanagar,South Bengaluru,25,1200,4.8
Thyme & Whisk,Multicuisine,Jayanagar,South Bengaluru,25,1200,4.8
Ac’lyrics,"Cocktail Menu, Multicuisine",Svenska Design Hotel,Bengaluru,40,2000,5.0
Ac’lyrics,"Cocktail Menu, Multicuisine",Svenska Design Hotel,Bengaluru,40,2000,5.0
Shetty Lunch Home,Multicuisine,Sadashiv Nagar,North Bengaluru,25,2000,4.6
Shetty Lunch Home,Multicuisine,Sadashiv Nagar,North Bengaluru,25,2000,4.6
The Fisherman's Wharf,"Seafood, Multicuisine, Indian Coastal Cuisine",Sarjapur Road,South Bengaluru,25,2000,4.5
The Fisherman's Wharf,"Seafood, Multicuisine, Indian Coastal Cuisine",Sarjapur Road,South Bengaluru,25,2000,4.5
Chalo Punjab (Bhangra Bistro),Multicuisine,100 Feet Road,East Bengaluru,40,2000,4.7
Chalo Punjab (Bhangra Bistro),Multicuisine,100 Feet Road,East Bengaluru,40,2000,4.7
The Rendezvous,Multicuisine,Koramangala,South Bengaluru,40,2000,4.0
The Rendezvous,Multicuisine,Koramangala,South Bengaluru,40,2000,4.0
DIHA Café,"Cafe, Italian",JP Nagar,South Bengaluru,25,1600,4.0
DIHA Café,"Cafe, Italian",JP Nagar,South Bengaluru,25,1600,4.0
Cup & Crumble Cafe,Multicuisine,Domlur,East Bengaluru,35,1000,4.0
Cup & Crumble Cafe,Multicuisine,Domlur,East Bengaluru,35,1000,4.0
Lyfe Restaurant & Pizzeria,"Italian, Mediterranean, Pan Asian",Whitefield,East Bengaluru,35,2000,4.8
Lyfe Restaurant & Pizzeria,"Italian, Mediterranean, Pan Asian",Whitefield,East Bengaluru,35,2000,4.8
Moxy Kitchen,"European, North Indian",Moxy,Bengaluru,45,2500,4.7
Moxy Kitchen,"European, North Indian",Moxy,Bengaluru,45,2500,4.7
NEKTR Rooftop Bar Kitchen,"Chinese, Italian",Jakkur,Central Bengaluru,25,1800,5.0
NEKTR Rooftop Bar Kitchen,"Chinese, Italian",Jakkur,Central Bengaluru,25,1800,5.0
Donne Biryani Palace,Biryani,,,35,600,5.0
Donne Biryani Palace,Biryani,,,35,600,5.0
Orchid ,Multicuisine,Fortune Park JP Celestial,Bengaluru,35,2000,3.9
Orchid ,Multicuisine,Fortune Park JP Celestial,Bengaluru,35,2000,3.9
Dialogues Cafe,Cafe,Koramangala 4th Block,South Bengaluru,35,2000,4.0
Dialogues Cafe,Cafe,Koramangala 4th Block,South Bengaluru,35,2000,4.0
Yuki - Brewhouse and Kitchen,"Pan Asian, Cocktail Menu",Koramangala,South Bengaluru,25,2000,4.6
Yuki - Brewhouse and Kitchen,"Pan Asian, Cocktail Menu",Koramangala,South Bengaluru,25,2000,4.6
Joynt Craft Bar & Kitchen,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,35,2000,3.0
Joynt Craft Bar & Kitchen,Multicuisine,Rajarajeshwari Nagar,South Bengaluru,35,2000,3.0
Club Destini - Destini Bar & Kitchen,Multicuisine,Electronic City,South Bengaluru,35,2000,4.6
Club Destini - Destini Bar & Kitchen,Multicuisine,Electronic City,South Bengaluru,35,2000,4.6
Shreemaatha Kitchens,Multicuisine,kengeri,South Bengaluru,35,600,3.0
Shreemaatha Kitchens,Multicuisine,kengeri,South Bengaluru,35,600,3.0
Story Coffee,"Cafe, Fast Food",Koramangala,South Bengaluru,35,600,4.0
Story Coffee,"Cafe, Fast Food",Koramangala,South Bengaluru,35,600,4.0
Gufha,Afghani,The President Hotel,Bengaluru,35,2000,4.2
Gufha,Afghani,The President Hotel,Bengaluru,35,2000,4.2
KOKO,Asian,Jeevan Bhima Nagar,East Bengaluru,25,3500,4.2
KOKO,Asian,Jeevan Bhima Nagar,East Bengaluru,25,3500,4.2
Koi Resto Bar,Multicuisine,New BEL Road,North Bengaluru,25,1800,4.1
Koi Resto Bar,Multicuisine,New BEL Road,North Bengaluru,25,1800,4.1
Sita Ram The Royal Rajasthani Thali,"Rajasthani, North Indian",Rajarajeshwari Nagar,South Bengaluru,35,350,4.8
Sita Ram The Royal Rajasthani Thali,"Rajasthani, North Indian",Rajarajeshwari Nagar,South Bengaluru,35,350,4.8
Underdoggs ,Multicuisine,Sahakara Nagar,North Bengaluru,25,2500,4.2
Underdoggs ,Multicuisine,Sahakara Nagar,North Bengaluru,25,2500,4.2
Arena Brewhouse,Multicuisine,Indiranagar,East Bengaluru,25,5000,4.7
Arena Brewhouse,Multicuisine,Indiranagar,East Bengaluru,25,5000,4.7
PHURR,"Global Cuisine, Fusion",Jayanagar,South Bengaluru,25,1800,4.3
PHURR,"Global Cuisine, Fusion",Jayanagar,South Bengaluru,25,1800,4.3
Lux Pub & Kitchen,Multicuisine,Koramangala 7th Block,South Bengaluru,40,2000,3.0
Lux Pub & Kitchen,Multicuisine,Koramangala 7th Block,South Bengaluru,40,2000,3.0
Kalasa Coffee Roasters,Coffee,Ullal,North Bengaluru,40,400,5.0
Kalasa Coffee Roasters,Coffee,Ullal,North Bengaluru,40,400,5.0
The Clink,Global Cuisine,JP Nagar,South Bengaluru,35,1000,4.0
The Clink,Global Cuisine,JP Nagar,South Bengaluru,35,1000,4.0
Food Planks,Multicuisine,Sahakara Nagar,North Bengaluru,25,2000,4.5
Food Planks,Multicuisine,Sahakara Nagar,North Bengaluru,25,2000,4.5
Quattro,"Italian, Multicuisine","The Leela Bhartiya City, Hotel Convention & Residences",Bengaluru,40,2500,4.5
Quattro,"Italian, Multicuisine","The Leela Bhartiya City, Hotel Convention & Residences",Bengaluru,40,2500,4.5
Sukino Cafe & Kitchen,Multicuisine,Banashankari,South Bengaluru,25,800,5.0
Sukino Cafe & Kitchen,Multicuisine,Banashankari,South Bengaluru,25,800,5.0
Happy Brew - Bar & Kitchen,"Finger Food, Multicuisine",Koramangala,South Bengaluru,50,2500,3.4
Happy Brew - Bar & Kitchen,"Finger Food, Multicuisine",Koramangala,South Bengaluru,50,2500,3.4
Milano Bakery Cafe,"Bakery, European",Indiranagar,East Bengaluru,35,500,4.0
Milano Bakery Cafe,"Bakery, European",Indiranagar,East Bengaluru,35,500,4.0
Kora.Blr,"Italian, Fusion, Continental",Koramangala 6th Block,South Bengaluru,35,800,4.0
Kora.Blr,"Italian, Fusion, Continental",Koramangala 6th Block,South Bengaluru,35,800,4.0
Yaghma Kababs,North Indian,Kalyan Nagar,North Bengaluru,25,400,4.0
Yaghma Kababs,North Indian,Kalyan Nagar,North Bengaluru,25,400,4.0
Biere Kraft Brew & Kitchen,Multicuisine,Mahadevapura,Bengaluru,35,1000,4.8
Biere Kraft Brew & Kitchen,Multicuisine,Mahadevapura,Bengaluru,35,1000,4.8
Big Bean Cafe,"Italian, Continental",Kalyan Nagar,North Bengaluru,25,700,4.0
Big Bean Cafe,"Italian, Continental",Kalyan Nagar,North Bengaluru,25,700,4.0
The Red Box,Chinese,Marathahalli,East Bengaluru,40,2000,4.5
The Red Box,Chinese,Marathahalli,East Bengaluru,40,2000,4.5
Daily Sushi - ITPL,"Japanese, Korean",Whitefield,East Bengaluru,35,2000,4.4
Daily Sushi - ITPL,"Japanese, Korean",Whitefield,East Bengaluru,35,2000,4.4
Chaiffee Cafe,"European, Fast Food",Jeevan Bhima Nagar,East Bengaluru,50,2000,4.0
Chaiffee Cafe,"European, Fast Food",Jeevan Bhima Nagar,East Bengaluru,50,2000,4.0
Catch Up - Brew House,Multicuisine,HSR,South Bengaluru,35,2000,3.5
Catch Up - Brew House,Multicuisine,HSR,South Bengaluru,35,2000,3.5
Mad Doh Sourdough Pizzeria & Bakes ,Italian,Rajarajeshwari Nagar,South Bengaluru,25,1500,5.0
Mad Doh Sourdough Pizzeria & Bakes ,Italian,Rajarajeshwari Nagar,South Bengaluru,25,1500,5.0
"Byg Brewski Brewing Company, Sarjapur",Multicuisine,Sarjapur Road,South Bengaluru,25,2000,4.5
"Byg Brewski Brewing Company, Sarjapur",Multicuisine,Sarjapur Road,South Bengaluru,25,2000,4.5
Mithai Mahal ,Multicuisine,JP Nagar,South Bengaluru,25,600,3.8
Mithai Mahal ,Multicuisine,JP Nagar,South Bengaluru,25,600,3.8
Batlee,Multicuisine,RBD Sarovar Portico,Bengaluru,40,2000,3.5
Batlee,Multicuisine,RBD Sarovar Portico,Bengaluru,40,2000,3.5
World On A Plate,Multicuisine,The Citrine Hotel,Bengaluru,45,2000,4.0
World On A Plate,Multicuisine,The Citrine Hotel,Bengaluru,45,2000,4.0
Sicilia Point,Italian,Rajajinagar,West Bengaluru,35,2000,4.8
Sicilia Point,Italian,Rajajinagar,West Bengaluru,35,2000,4.8
Underdoggs Whitefield,Multicuisine,Whitefield,East Bengaluru,25,1300,4.4
Underdoggs Whitefield,Multicuisine,Whitefield,East Bengaluru,25,1300,4.4
Jimi's Beer Cafe,Multicuisine,Indiranagar,East Bengaluru,25,2500,4.2
Jimi's Beer Cafe,Multicuisine,Indiranagar,East Bengaluru,25,2500,4.2
Jcubez,Multicuisine,Banashankari,South Bengaluru,35,2000,3.3
Jcubez,Multicuisine,Banashankari,South Bengaluru,35,2000,3.3
Suku ,"Japanese, Thai",HSR,South Bengaluru,25,2000,4.7
Suku ,"Japanese, Thai",HSR,South Bengaluru,25,2000,4.7
Terrace Bar & Kitchen,Multicuisine,JP Nagar,South Bengaluru,35,2500,4.2
Terrace Bar & Kitchen,Multicuisine,JP Nagar,South Bengaluru,35,2500,4.2
Navathanyam,South Indian,Domlur,East Bengaluru,25,2000,4.2
Navathanyam,South Indian,Domlur,East Bengaluru,25,2000,4.2
Sanchez And Sriracha ,Mexican,Nagawara,North Bengaluru,35,2000,4.8
Sanchez And Sriracha ,Mexican,Nagawara,North Bengaluru,35,2000,4.8
Dhaba - Estd 1986 Delhi,North Indian,12th main,East Bengaluru,35,2000,4.2
Dhaba - Estd 1986 Delhi,North Indian,12th main,East Bengaluru,35,2000,4.2
Blah Bla X,"Italian, Indian Coastal Cuisine, Pan Asian","Phoenix Mall Of Asia, Yelahanka",Bengaluru,35,1400,3.0
Blah Bla X,"Italian, Indian Coastal Cuisine, Pan Asian","Phoenix Mall Of Asia, Yelahanka",Bengaluru,35,1400,3.0
Moai - Redefined Vegetarian Dining,Multicuisine,Jayanagar,South Bengaluru,25,3000,4.5
Moai - Redefined Vegetarian Dining,Multicuisine,Jayanagar,South Bengaluru,25,3000,4.5
M Café,"Multicuisine, Continental, North Indian",,,35,3800,4.2
M Café,"Multicuisine, Continental, North Indian",,,35,3800,4.2
Asia Alive - Global Dining,Multicuisine,DoubleTree Suites By Hilton,Bengaluru,40,2500,3.9
